./test 375 20 0 10
Overhead       Psuc
      1.00      13.30 
      1.05      37.60 
      1.10      64.40 
      1.15      83.10 
      1.20      90.20 
      1.25      97.20 
      1.30      98.70 
      1.35      99.50 
      1.40      99.70 
      1.45     100.00 
      1.50     100.00 
      1.55     100.00 
      1.60     100.00 
      1.65     100.00 
      1.70     100.00 
      1.75     100.00 
      1.80     100.00 
      1.85     100.00 
      1.90     100.00 
      1.95     100.00 
      2.00     100.00 
      2.05     100.00 
      2.10     100.00 
      2.15     100.00 
      2.20     100.00 
      2.25     100.00 
      2.30     100.00 
      2.35     100.00 
      2.40     100.00 
      2.45     100.00 
      2.50     100.00 
      2.55     100.00 
      2.60     100.00 
      2.65     100.00 
      2.70     100.00 
      2.75     100.00 
      2.80     100.00 
      2.85     100.00 
      2.90     100.00 
      2.95     100.00 
      3.00     100.00 
./test 375 20 0 10
./test 375 20 0 10
./test 375 20 0 10
./test 375 20 0 10
